,variable,coef,abs_coef
36,total_sf,17720.200204779292,17720.200204779292
2,overall_qual,13339.073316125114,13339.073316125114
15,gr_liv_area,12021.541242536841,12021.541242536841
7,bsmtfin_sf_1,8709.038710407724,8709.038710407724
222,neighborhood_NridgHt,8188.12440121675,8188.12440121675
228,neighborhood_StoneBr,6371.24569166925,6371.24569166925
37,housing_age,-5679.758597851613,5679.758597851613
5,exter_qual,5342.819930958751,5342.819930958751
3,overall_cond,5102.435812485184,5102.435812485184
4,mas_vnr_area,4905.721156322645,4905.721156322645
50,ms_subclass_120,-4543.652352961283,4543.652352961283
339,year_built_2008,4417.8135011448685,4417.8135011448685
201,sale_type_New,4196.447632834399,4196.447632834399
1,lot_area,4105.691935152035,4105.691935152035
22,kitchen_qual,4067.9645282248594,4067.9645282248594
498,garage_yr_blt_2009.0,3878.4500689972883,3878.4500689972883
26,garage_area,3710.267131717208,3710.267131717208
213,neighborhood_GrnHill,3348.92743179671,3348.92743179671
31,screen_porch,3347.081225975818,3347.081225975818
221,neighborhood_NoRidge,3309.9898736698437,3309.9898736698437
67,land_contour_HLS,3012.9938946194998,3012.9938946194998
24,fireplaces,2329.9014927884377,2329.9014927884377
176,functional_Typ,2169.4478068228595,2169.4478068228595
21,kitchen_abvgr,-2126.6960718193936,2126.6960718193936
52,ms_subclass_160,-2009.6815790103492,2009.6815790103492
152,bsmtfin_type_1_None,1978.1459399955763,1978.1459399955763
79,condition_1_Norm,1968.7258079834564,1968.7258079834564
72,lot_config_CulDSac,1942.9892381961254,1942.9892381961254
0,lot_frontage,1898.959834187115,1898.959834187115
156,bsmtfin_type_2_GLQ,1771.3865314804468,1771.3865314804468
150,bsmtfin_type_1_GLQ,1699.3638947429808,1699.3638947429808
20,bedroom_abvgr,-1675.563793708248,1675.563793708248
81,condition_1_PosN,1669.1008162097055,1669.1008162097055
209,neighborhood_Crawfor,1659.5010923649006,1659.5010923649006
115,exterior_1st_BrkFace,1587.2223680046993,1587.2223680046993
337,year_built_2006,1569.221128139777,1569.221128139777
107,roof_style_Mansard,-1539.8267709981421,1539.8267709981421
184,garage_finish_RFn,-1522.0297025283878,1522.0297025283878
175,functional_Sev,-1489.126297653043,1489.126297653043
16,bsmt_full_bath,1464.9678836382275,1464.9678836382275
227,neighborhood_Somerst,1448.6137453284334,1448.6137453284334
179,garage_type_BuiltIn,1440.4139113390665,1440.4139113390665
117,exterior_1st_CemntBd,1402.2769402116583,1402.2769402116583
89,condition_2_PosN,1395.021581133817,1395.021581133817
76,land_slope_Mod,1272.650682096321,1272.650682096321
494,garage_yr_blt_2005.0,1254.019872103238,1254.019872103238
372,year_remod/add_1981,-1230.8759557601275,1230.8759557601275
304,year_built_1973,-1144.829622757725,1144.829622757725
219,neighborhood_NPkVill,1111.2041088083404,1111.2041088083404
106,roof_style_Hip,1093.9816842333823,1093.9816842333823
11,heating_qc,1068.553064029892,1068.553064029892
210,neighborhood_Edwards,-1047.6292276477589,1047.6292276477589
132,exterior_2nd_HdBoard,-947.9937901768352,947.9937901768352
196,sale_type_CWD,902.0850465785483,902.0850465785483
23,totrms_abvgrd,890.5776550927724,890.5776550927724
250,year_built_1916,854.0020795171669,854.0020795171669
388,year_remod/add_1997,848.9683375196823,848.9683375196823
60,ms_zoning_RM,-838.0636406952576,838.0636406952576
401,year_remod/add_2010,824.5948676085397,824.5948676085397
145,foundation_PConc,815.6853125817019,815.6853125817019
142,mas_vnr_type_None,779.9891001621481,779.9891001621481
12,1st_flr_sf,762.3088440510621,762.3088440510621
288,year_built_1957,-756.8026577314035,756.8026577314035
466,garage_yr_blt_1977.0,-719.4057887095387,719.4057887095387
241,year_built_1901,717.7372838710756,717.7372838710756
70,utilities_NoSeWa,-654.8242198123695,654.8242198123695
125,exterior_1st_Wd Sdng,-605.7400216805189,605.7400216805189
380,year_remod/add_1989,-603.52029314864,603.52029314864
280,year_built_1949,580.384977466801,580.384977466801
206,neighborhood_BrkSide,574.8171052994352,574.8171052994352
197,sale_type_Con,570.3994682626403,570.3994682626403
329,year_built_1998,558.9520967453689,558.9520967453689
490,garage_yr_blt_2001.0,541.8624577014833,541.8624577014833
289,year_built_1958,-510.42778295736434,510.42778295736434
483,garage_yr_blt_1994.0,-509.36480249197155,509.36480249197155
80,condition_1_PosA,498.9749146344281,498.9749146344281
193,misc_feature_Othr,496.6645419536605,496.6645419536605
55,ms_zoning_C (all),-487.7717982448052,487.7717982448052
223,neighborhood_OldTown,-485.7039888350862,485.7039888350862
51,ms_subclass_150,-447.55799921889826,447.55799921889826
398,year_remod/add_2007,441.9921239910803,441.9921239910803
220,neighborhood_NWAmes,-441.1995155695794,441.1995155695794
74,lot_config_FR3,-434.0832845123559,434.0832845123559
38,age_after_remod,-430.42674058764624,430.42674058764624
413,garage_yr_blt_1922.0,416.46084093399446,416.46084093399446
366,year_remod/add_1975,-414.6442377037188,414.6442377037188
8,bsmtfin_sf_2,406.1852191219288,406.1852191219288
44,ms_subclass_60,405.03318492918544,405.03318492918544
114,exterior_1st_BrkComm,-401.6625550389065,401.6625550389065
127,exterior_2nd_AsphShn,377.31319013554196,377.31319013554196
481,garage_yr_blt_1992.0,-377.22165465322456,377.22165465322456
99,house_style_2.5Fin,-373.7413630145574,373.7413630145574
309,year_built_1978,-369.65634029181393,369.65634029181393
361,year_remod/add_1970,-363.8308675011641,363.8308675011641
442,garage_yr_blt_1953.0,-333.84320711905957,333.84320711905957
198,sale_type_ConLD,332.6498832910486,332.6498832910486
392,year_remod/add_2001,317.5132889133093,317.5132889133093
235,year_built_1890,-314.4943746329346,314.4943746329346
39,seasons,-310.91174032033496,310.91174032033496
185,garage_finish_Unf,-310.7097760395002,310.7097760395002
384,year_remod/add_1993,-309.9813797021487,309.9813797021487
460,garage_yr_blt_1971.0,-298.3575692690668,298.3575692690668
205,neighborhood_BrDale,288.38754156775485,288.38754156775485
430,garage_yr_blt_1939.0,284.81207393641023,284.81207393641023
195,misc_feature_TenC,-275.94909005350195,275.94909005350195
357,year_remod/add_1966,270.00082524535185,270.00082524535185
279,year_built_1948,-254.0723909690235,254.0723909690235
400,year_remod/add_2009,-249.93222953927193,249.93222953927193
40,ms_subclass_30,249.23110379970362,249.23110379970362
251,year_built_1917,-243.58546330565144,243.58546330565144
65,lot_shape_IR3,-236.6436636032729,236.6436636032729
75,lot_config_Inside,236.62059641357718,236.62059641357718
48,ms_subclass_85,236.1184840525921,236.1184840525921
473,garage_yr_blt_1984.0,-235.23849728630586,235.23849728630586
356,year_remod/add_1965,-235.21528664633078,235.21528664633078
418,garage_yr_blt_1927.0,232.24996057743823,232.24996057743823
225,neighborhood_Sawyer,223.0320481829852,223.0320481829852
88,condition_2_PosA,214.7769164123673,214.7769164123673
162,heating_Grav,-213.91381612128524,213.91381612128524
492,garage_yr_blt_2003.0,210.96555919604938,210.96555919604938
499,garage_yr_blt_2010.0,-207.53092905221396,207.53092905221396
391,year_remod/add_2000,205.64010522993925,205.64010522993925
112,roof_matl_WdShngl,197.25003989126103,197.25003989126103
25,garage_cars,195.69398017875295,195.69398017875295
307,year_built_1976,-186.6210310734867,186.6210310734867
109,roof_matl_Membran,184.293554446984,184.293554446984
382,year_remod/add_1991,-175.4820640862486,175.4820640862486
272,year_built_1939,174.763959441375,174.763959441375
158,bsmtfin_type_2_None,159.54077369056898,159.54077369056898
46,ms_subclass_75,-153.7226467321527,153.7226467321527
310,year_built_1979,151.5891511375043,151.5891511375043
173,functional_Mod,-145.25285482221105,145.25285482221105
218,neighborhood_NAmes,-139.99257740359621,139.99257740359621
266,year_built_1932,137.0669658975602,137.0669658975602
383,year_remod/add_1992,-136.44555021661503,136.44555021661503
226,neighborhood_SawyerW,-135.16886291204833,135.16886291204833
263,year_built_1929,127.37786370992211,127.37786370992211
316,year_built_1985,-120.093963376473,120.093963376473
305,year_built_1974,-115.24953598826438,115.24953598826438
27,wood_deck_sf,111.83117059922272,111.83117059922272
96,bldg_type_TwnhsE,-111.04017142706878,111.04017142706878
134,exterior_2nd_MetalSd,105.38279010513041,105.38279010513041
491,garage_yr_blt_2002.0,-104.74218410279568,104.74218410279568
199,sale_type_ConLI,100.80350740750279,100.80350740750279
69,land_contour_Lvl,-95.1571911905376,95.1571911905376
35,yr_sold,-88.54420384651988,88.54420384651988
63,alley_Pave,-86.23622563593706,86.23622563593706
54,ms_subclass_190,-82.26477658609093,82.26477658609093
169,electrical_SBrkr,-67.60620347838989,67.60620347838989
351,year_remod/add_1960,-64.51789171164988,64.51789171164988
171,functional_Min1,61.391226321398044,61.391226321398044
159,bsmtfin_type_2_Rec,-58.75303952479185,58.75303952479185
113,exterior_1st_AsphShn,56.78942239566039,56.78942239566039
239,year_built_1898,-56.13254970530381,56.13254970530381
501,garage_yr_blt_None,48.76705403791211,48.76705403791211
381,year_remod/add_1990,-48.593727026737156,48.593727026737156
182,garage_type_None,47.85691608940695,47.85691608940695
118,exterior_1st_HdBoard,-44.21287527675997,44.21287527675997
151,bsmtfin_type_1_LwQ,-40.50152700170011,40.50152700170011
332,year_built_2001,40.434317953793524,40.434317953793524
111,roof_matl_WdShake,37.338870191758176,37.338870191758176
174,functional_Sal,-34.98051401840146,34.98051401840146
475,garage_yr_blt_1986.0,33.76554784118042,33.76554784118042
378,year_remod/add_1987,16.978831028552314,16.978831028552314
353,year_remod/add_1962,15.183070023464422,15.183070023464422
183,garage_finish_None,6.8390202117651e-13,6.8390202117651e-13
390,year_remod/add_1999,-0.0,0.0
389,year_remod/add_1998,-0.0,0.0
